# Weather station Paderborn / Lippstadt (airport), Germany, METAR=EDLP,selection from 23.01.2019 till 23.11.2019, all days
# Encoding: ANSI
# The data is provided by the website "Reliable Prognosis", rp5.ru
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/metar.php?metar=EDLP&lang=en
#
"Local time in Paderborn / Lippstadt (airport)";"T";"P0";"P";"U";"DD";"Ff";"ff10";"WW";"W'W'";"c";"VV";"Td";
"08.08.2019 04:20";"15.0";"738.8";"757.7";"77";"Wind blowing from the south-southwest";"5";"";"";"";"No Significant Clouds";"10.0 and more";"11.0";
"08.08.2019 03:50";"16.0";"738.9";"757.7";"77";"Wind blowing from the south-southwest";"5";"";"";"";"No Significant Clouds";"10.0 and more";"12.0";
"08.08.2019 03:20";"16.0";"738.9";"757.7";"77";"Wind blowing from the south-southwest";"5";"";"";"";"No Significant Clouds";"10.0 and more";"12.0";
"08.08.2019 02:50";"16.0";"738.9";"757.7";"72";"Wind blowing from the south";"4";"";"";"";"No Significant Clouds";"10.0 and more";"11.0";
"08.08.2019 02:20";"16.0";"738.9";"757.7";"72";"Wind blowing from the south";"4";"";"";"";"No Significant Clouds";"10.0 and more";"11.0";
"08.08.2019 01:50";"16.0";"738.9";"757.7";"72";"Wind blowing from the south";"4";"";"";"";"No Significant Clouds";"10.0 and more";"11.0";
"08.08.2019 01:20";"16.0";"738.9";"757.7";"72";"Wind blowing from the south";"3";"";"";"";"No Significant Clouds";"10.0 and more";"11.0";
"08.08.2019 00:50";"16.0";"738.9";"757.7";"72";"Wind blowing from the south";"4";"";"";"";"No Significant Clouds";"10.0 and more";"11.0";
"08.08.2019 00:20";"16.0";"738.9";"757.7";"72";"Wind blowing from the south";"4";"";"";"";"No Significant Clouds";"10.0 and more";"11.0";
"07.08.2019 23:50";"16.0";"738.9";"757.7";"83";"Wind blowing from the south";"3";"";"";"";"No Significant Clouds";"10.0 and more";"13.0";
"07.08.2019 23:20";"16.0";"738.9";"757.7";"83";"Wind blowing from the south";"3";"";"";"";"No Significant Clouds";"10.0 and more";"13.0";
"07.08.2019 22:50";"16.0";"738.9";"757.7";"88";"Wind blowing from the west-southwest";"2";"";"";"";"Few clouds (10-30%) 1410 m";"10.0 and more";"14.0";
"07.08.2019 22:20";"19.0";"738.3";"756.9";"60";"Wind blowing from the south-southwest";"3";"";"";"";"No Significant Clouds";"10.0 and more";"11.0";
"07.08.2019 21:50";"18.0";"738.2";"756.9";"68";"Wind blowing from the south-west";"2";"";"";"";"No Significant Clouds";"10.0 and more";"12.0";
"07.08.2019 21:20";"19.0";"738.3";"756.9";"60";"Wind blowing from the west-northwest";"3";"";"";"";"No Significant Clouds";"10.0 and more";"11.0";
"07.08.2019 20:50";"19.0";"737.6";"756.2";"56";"Wind blowing from the south-west";"4";"";"In the vicinity shower(s)";"";"Few clouds (10-30%) 1830 m, cumulus congestus of great vertical extent";"10.0 and more";"10.0";
"07.08.2019 20:20";"20.0";"737.7";"756.2";"53";"Wind blowing from the south-west";"4";"";"In the vicinity shower(s)";"";"Few clouds (10-30%) 1800 m, cumulus congestus of great vertical extent";"10.0 and more";"10.0";
"07.08.2019 19:50";"21.0";"737.7";"756.2";"50";"Wind blowing from the south-west";"4";"";"";"";"No Significant Clouds";"10.0 and more";"10.0";
"07.08.2019 19:20";"22.0";"737.0";"755.4";"44";"Wind blowing from the west-southwest";"4";"";"";"";"No Significant Clouds";"10.0 and more";"9.0";
"07.08.2019 18:50";"22.0";"737.0";"755.4";"44";"Wind blowing from the west-southwest";"4";"";"";"";"No Significant Clouds";"10.0 and more";"9.0";
"07.08.2019 18:20";"22.0";"737.0";"755.4";"44";"Wind blowing from the west-southwest";"4";"";"";"";"No Significant Clouds";"10.0 and more";"9.0";
"07.08.2019 17:50";"23.0";"737.1";"755.4";"41";"Wind blowing from the west-southwest";"4";"";"";"";"No Significant Clouds";"10.0 and more";"9.0";
"07.08.2019 17:20";"23.0";"737.1";"755.4";"44";"variable wind direction";"4";"";"";"";"No Significant Clouds";"10.0 and more";"10.0";
"07.08.2019 16:50";"23.0";"737.1";"755.4";"41";"Wind blowing from the west-southwest";"5";"";"";"";"No Significant Clouds";"10.0 and more";"9.0";
"07.08.2019 16:20";"23.0";"737.8";"756.2";"41";"Wind blowing from the west";"4";"";"";"";"No Significant Clouds";"10.0 and more";"9.0";
"07.08.2019 15:50";"22.0";"737.0";"755.4";"47";"variable wind direction";"4";"";"";"";"No Significant Clouds";"10.0 and more";"10.0";
"07.08.2019 15:20";"23.0";"737.1";"755.4";"41";"Wind blowing from the west";"6";"";"";"";"No Significant Clouds";"10.0 and more";"9.0";
"07.08.2019 14:50";"23.0";"737.1";"755.4";"41";"Wind blowing from the west";"5";"";"";"";"No Significant Clouds";"10.0 and more";"9.0";
"07.08.2019 14:20";"23.0";"737.1";"755.4";"44";"Wind blowing from the west";"4";"";"";"";"No Significant Clouds";"10.0 and more";"10.0";
"07.08.2019 13:50";"22.0";"737.0";"755.4";"47";"Wind blowing from the west-southwest";"5";"";"";"";"No Significant Clouds";"10.0 and more";"10.0";
"07.08.2019 13:20";"23.0";"737.1";"755.4";"47";"Wind blowing from the west-southwest";"5";"";"";"";"No Significant Clouds";"10.0 and more";"11.0";
"07.08.2019 12:50";"22.0";"737.0";"755.4";"50";"Wind blowing from the west-southwest";"6";"";"";"";"Few clouds (10-30%) 1440 m";"10.0 and more";"11.0";
"07.08.2019 12:20";"22.0";"737.0";"755.4";"47";"Wind blowing from the west-southwest";"6";"";"";"";"Few clouds (10-30%) 1380 m";"10.0 and more";"10.0";
"07.08.2019 11:50";"22.0";"737.0";"755.4";"50";"Wind blowing from the west-southwest";"7";"";"";"";"Few clouds (10-30%) 1230 m";"10.0 and more";"11.0";
"07.08.2019 11:20";"21.0";"737.7";"756.2";"57";"Wind blowing from the west-southwest";"5";"";"";"";"Scattered clouds (40-50%) 1080 m";"10.0 and more";"12.0";
"07.08.2019 10:50";"20.0";"737.7";"756.2";"60";"Wind blowing from the west-southwest";"6";"";"";"";"Few clouds (10-30%) 960 m";"10.0 and more";"12.0";
"07.08.2019 10:20";"20.0";"737.7";"756.2";"60";"Wind blowing from the west-southwest";"4";"";"";"";"Scattered clouds (40-50%) 870 m";"10.0 and more";"12.0";
"07.08.2019 09:50";"19.0";"737.6";"756.2";"68";"Wind blowing from the west-southwest";"6";"";"";"";"Few clouds (10-30%) 660 m";"10.0 and more";"13.0";
"07.08.2019 09:20";"19.0";"736.8";"755.4";"73";"Wind blowing from the west-southwest";"5";"";"";"";"Few clouds (10-30%) 540 m, scattered clouds (40-50%) 1410 m";"10.0 and more";"14.0";
"07.08.2019 08:50";"19.0";"736.8";"755.4";"78";"Wind blowing from the west-southwest";"4";"";"";"";"Scattered clouds (40-50%) 540 m, broken clouds (60-90%) 1050 m";"10.0 and more";"15.0";
"07.08.2019 08:20";"18.0";"736.8";"755.4";"78";"Wind blowing from the west-southwest";"4";"";"";"";"Scattered clouds (40-50%) 540 m, broken clouds (60-90%) 720 m";"10.0 and more";"14.0";
"07.08.2019 07:50";"18.0";"736.8";"755.4";"78";"Wind blowing from the west-southwest";"5";"";"";"";"Scattered clouds (40-50%) 570 m, broken clouds (60-90%) 870 m";"10.0 and more";"14.0";
"07.08.2019 07:20";"18.0";"736.8";"755.4";"83";"Wind blowing from the west-southwest";"4";"";"";"";"Scattered clouds (40-50%) 540 m, broken clouds (60-90%) 900 m";"10.0 and more";"15.0";
"07.08.2019 06:50";"18.0";"736.8";"755.4";"83";"Wind blowing from the west-southwest";"5";"";"";"";"Scattered clouds (40-50%) 570 m, broken clouds (60-90%) 1230 m";"10.0 and more";"15.0";
"07.08.2019 06:20";"18.0";"736.8";"755.4";"83";"Wind blowing from the south-west";"4";"";"";"";"Scattered clouds (40-50%) 660 m, broken clouds (60-90%) 840 m";"10.0 and more";"15.0";
"07.08.2019 05:50";"18.0";"736.8";"755.4";"83";"Wind blowing from the south-southwest";"4";"";"";"";"Broken clouds (60-90%) 660 m, broken clouds (60-90%) 930 m";"10.0 and more";"15.0";
"07.08.2019 05:20";"18.0";"736.8";"755.4";"78";"Wind blowing from the south-southwest";"4";"";"";"";"Few clouds (10-30%) 720 m, broken clouds (60-90%) 900 m";"10.0 and more";"14.0";
"07.08.2019 04:50";"17.0";"736.7";"755.4";"83";"Wind blowing from the south";"3";"";"";"";"No Significant Clouds";"10.0 and more";"14.0";
"07.08.2019 04:20";"18.0";"736.8";"755.4";"78";"Wind blowing from the south";"4";"";"";"";"No Significant Clouds";"10.0 and more";"14.0";
"07.08.2019 03:50";"18.0";"736.8";"755.4";"83";"Wind blowing from the south-southwest";"4";"";"";"";"No Significant Clouds";"10.0 and more";"15.0";
"07.08.2019 03:20";"18.0";"737.5";"756.2";"83";"Wind blowing from the south-southwest";"4";"";"";"";"No Significant Clouds";"10.0 and more";"15.0";
"07.08.2019 02:50";"18.0";"737.5";"756.2";"83";"Wind blowing from the south";"4";"";"";"";"No Significant Clouds";"10.0 and more";"15.0";
"07.08.2019 02:20";"18.0";"737.5";"756.2";"83";"Wind blowing from the south";"4";"";"";"";"No Significant Clouds";"10.0 and more";"15.0";
"07.08.2019 01:50";"18.0";"737.5";"756.2";"83";"Wind blowing from the south";"4";"";"";"";"No Significant Clouds";"10.0 and more";"15.0";
"07.08.2019 01:20";"18.0";"737.5";"756.2";"83";"Wind blowing from the south";"4";"";"";"";"No Significant Clouds";"10.0 and more";"15.0";
"07.08.2019 00:50";"19.0";"737.6";"756.2";"78";"Wind blowing from the south-southwest";"4";"";"";"";"No Significant Clouds";"10.0 and more";"15.0";
"07.08.2019 00:20";"19.0";"737.6";"756.2";"78";"Wind blowing from the south-southwest";"4";"";"";"";"No Significant Clouds";"10.0 and more";"15.0";
"06.08.2019 23:50";"20.0";"737.7";"756.2";"69";"Wind blowing from the south-southwest";"3";"";"";"";"No Significant Clouds";"10.0 and more";"14.0";
"06.08.2019 23:20";"20.0";"738.3";"756.9";"69";"Wind blowing from the south-southwest";"2";"";"";"";"No Significant Clouds";"10.0 and more";"14.0";
"06.08.2019 22:50";"20.0";"737.7";"756.2";"64";"Wind blowing from the south";"3";"";"";"";"Broken clouds (60-90%) 1200 m";"10.0 and more";"13.0";
"06.08.2019 22:20";"20.0";"737.7";"756.2";"60";"variable wind direction";"1";"";"";"";"No Significant Clouds";"10.0 and more";"12.0";
"06.08.2019 21:50";"19.0";"738.3";"756.9";"68";"Wind blowing from the south-southeast";"3";"";"";"";"Scattered clouds (40-50%) 1320 m";"10.0 and more";"13.0";
"06.08.2019 21:20";"20.0";"738.3";"756.9";"60";"variable wind direction";"2";"";"";"";"Few clouds (10-30%) 1440 m";"10.0 and more";"12.0";
"06.08.2019 20:50";"20.0";"738.3";"756.9";"60";"variable wind direction";"1";"";"";"";"No Significant Clouds";"10.0 and more";"12.0";
"06.08.2019 20:20";"21.0";"737.7";"756.2";"57";"Wind blowing from the south-east";"2";"";"";"";"No Significant Clouds";"10.0 and more";"12.0";
"06.08.2019 19:50";"21.0";"737.7";"756.2";"57";"variable wind direction";"1";"";"";"";"No Significant Clouds";"10.0 and more";"12.0";
"06.08.2019 19:20";"21.0";"738.4";"756.9";"57";"Wind blowing from the west-northwest";"2";"";"";"";"No Significant Clouds";"10.0 and more";"12.0";
"06.08.2019 18:50";"22.0";"738.5";"756.9";"50";"Wind blowing from the west-northwest";"3";"";"";"";"No Significant Clouds";"10.0 and more";"11.0";
"06.08.2019 18:20";"23.0";"738.5";"756.9";"50";"Wind blowing from the west-northwest";"2";"";"";"";"No Significant Clouds";"10.0 and more";"12.0";
"06.08.2019 17:50";"24.0";"738.6";"756.9";"44";"Wind blowing from the west-northwest";"4";"";"";"";"No Significant Clouds";"10.0 and more";"11.0";
"06.08.2019 17:20";"24.0";"738.6";"756.9";"44";"Wind blowing from the west";"4";"";"";"";"No Significant Clouds";"10.0 and more";"11.0";
"06.08.2019 16:50";"24.0";"738.6";"756.9";"44";"Wind blowing from the west-southwest";"5";"";"";"";"No Significant Clouds";"10.0 and more";"11.0";
"06.08.2019 16:20";"24.0";"738.6";"756.9";"44";"Wind blowing from the west-southwest";"5";"";"";"";"No Significant Clouds";"10.0 and more";"11.0";
"06.08.2019 15:50";"24.0";"739.4";"757.7";"44";"Wind blowing from the west-southwest";"5";"";"";"";"No Significant Clouds";"10.0 and more";"11.0";
"06.08.2019 15:20";"24.0";"739.4";"757.7";"41";"Wind blowing from the west-southwest";"4";"";"";"";"No Significant Clouds";"10.0 and more";"10.0";
"06.08.2019 14:50";"24.0";"739.4";"757.7";"41";"Wind blowing from the west-southwest";"5";"";"";"";"No Significant Clouds";"10.0 and more";"10.0";
"06.08.2019 14:20";"24.0";"739.4";"757.7";"41";"Wind blowing from the south-west";"6";"";"";"";"No Significant Clouds";"10.0 and more";"10.0";
"06.08.2019 13:50";"23.0";"739.3";"757.7";"47";"Wind blowing from the south-west";"7";"";"";"";"No Significant Clouds";"10.0 and more";"11.0";
"06.08.2019 13:20";"24.0";"739.4";"757.7";"44";"Wind blowing from the south-west";"6";"";"";"";"No Significant Clouds";"10.0 and more";"11.0";
"06.08.2019 12:50";"23.0";"739.8";"758.2";"47";"Wind blowing from the south-west";"6";"";"";"";"No Significant Clouds";"10.0 and more";"11.0";
"06.08.2019 12:20";"23.0";"739.8";"758.2";"47";"Wind blowing from the west-southwest";"5";"";"";"";"Few clouds (10-30%) 1470 m";"10.0 and more";"11.0";
"06.08.2019 11:50";"23.0";"739.8";"758.2";"50";"Wind blowing from the west";"4";"";"";"";"Scattered clouds (40-50%) 1290 m";"10.0 and more";"12.0";
"06.08.2019 11:20";"21.0";"739.7";"758.2";"60";"Wind blowing from the west";"3";"";"";"";"Few clouds (10-30%) 840 m, scattered clouds (40-50%) 1140 m";"10.0 and more";"13.0";
"06.08.2019 10:50";"21.0";"739.7";"758.2";"69";"variable wind direction";"2";"";"";"";"Few clouds (10-30%) 900 m, scattered clouds (40-50%) 1080 m";"10.0 and more";"15.0";
"06.08.2019 10:20";"19.0";"739.6";"758.2";"83";"Wind blowing from the north-west";"2";"";"";"";"Few clouds (10-30%) 690 m, broken clouds (60-90%) 780 m";"10.0 and more";"16.0";
"06.08.2019 09:50";"20.0";"739.6";"758.2";"73";"Wind blowing from the west-southwest";"4";"";"";"";"Few clouds (10-30%) 690 m, scattered clouds (40-50%) 810 m, broken clouds (60-90%) 1290 m";"10.0 and more";"15.0";
"06.08.2019 09:20";"18.0";"739.5";"758.2";"83";"Wind blowing from the west";"2";"";"Light rain";"";"Few clouds (10-30%) 750 m, broken clouds (60-90%) 1050 m";"10.0 and more";"15.0";
"06.08.2019 08:50";"18.0";"739.5";"758.2";"83";"Wind blowing from the west-northwest";"4";"";"Light rain";"";"Scattered clouds (40-50%) 840 m, broken clouds (60-90%) 1380 m";"10.0 and more";"15.0";
"06.08.2019 08:20";"19.0";"739.6";"758.2";"73";"Wind blowing from the west";"4";"";"Light rain";"";"Broken clouds (60-90%) 840 m";"10.0 and more";"14.0";
"06.08.2019 07:50";"20.0";"739.6";"758.2";"69";"Wind blowing from the west-southwest";"5";"";"Light rain";"";"Few clouds (10-30%) 810 m, broken clouds (60-90%) 1230 m";"10.0 and more";"14.0";
"06.08.2019 07:20";"20.0";"739.6";"758.2";"64";"Wind blowing from the south-west";"3";"";"";"";"Broken clouds (60-90%) 1290 m";"10.0 and more";"13.0";
"06.08.2019 06:50";"19.0";"739.6";"758.2";"68";"Wind blowing from the south-west";"2";"";"";"";"No Significant Clouds";"10.0 and more";"13.0";
"06.08.2019 06:20";"19.0";"739.1";"757.7";"64";"Wind blowing from the west-southwest";"2";"";"";"";"No Significant Clouds";"10.0 and more";"12.0";
"06.08.2019 05:50";"18.0";"739.0";"757.7";"68";"Wind blowing from the south-southwest";"2";"";"";"";"No Significant Clouds";"10.0 and more";"12.0";
"06.08.2019 05:20";"19.0";"739.1";"757.7";"64";"Wind blowing from the south";"3";"";"";"";"No Significant Clouds";"10.0 and more";"12.0";
"06.08.2019 04:50";"19.0";"739.1";"757.7";"64";"Wind blowing from the south";"3";"";"";"";"No Significant Clouds";"10.0 and more";"12.0";
"06.08.2019 04:20";"19.0";"739.6";"758.2";"64";"Wind blowing from the south";"4";"";"";"";"No Significant Clouds";"10.0 and more";"12.0";
"06.08.2019 03:50";"19.0";"739.6";"758.2";"64";"Wind blowing from the south";"4";"";"";"";"Few clouds (10-30%) 1620 m";"10.0 and more";"12.0";
"06.08.2019 03:20";"19.0";"739.6";"758.2";"64";"Wind blowing from the south";"4";"";"";"";"No Significant Clouds";"10.0 and more";"12.0";
"06.08.2019 02:50";"19.0";"739.6";"758.2";"64";"Wind blowing from the south";"4";"";"";"";"No Significant Clouds";"10.0 and more";"12.0";
"06.08.2019 02:20";"19.0";"739.6";"758.2";"64";"Wind blowing from the south";"4";"";"";"";"No Significant Clouds";"10.0 and more";"12.0";
"06.08.2019 01:50";"19.0";"739.6";"758.2";"64";"Wind blowing from the south";"4";"";"";"";"No Significant Clouds";"10.0 and more";"12.0";
"06.08.2019 01:20";"20.0";"739.6";"758.2";"60";"Wind blowing from the south";"4";"";"";"";"No Significant Clouds";"10.0 and more";"12.0";
"06.08.2019 00:50";"19.0";"739.6";"758.2";"64";"Wind blowing from the south";"2";"";"";"";"No Significant Clouds";"10.0 and more";"12.0";
"06.08.2019 00:20";"19.0";"739.6";"758.2";"64";"variable wind direction";"2";"";"";"";"No Significant Clouds";"10.0 and more";"12.0";
"05.08.2019 23:50";"18.0";"739.5";"758.2";"73";"Wind blowing from the south-southwest";"2";"";"";"";"No Significant Clouds";"10.0 and more";"13.0";
"05.08.2019 23:20";"18.0";"739.5";"758.2";"73";"variable wind direction";"1";"";"";"";"No Significant Clouds";"10.0 and more";"13.0";
"05.08.2019 22:50";"19.0";"739.6";"758.2";"68";"Wind blowing from the south-southwest";"2";"";"";"";"No Significant Clouds";"10.0 and more";"13.0";
"05.08.2019 22:20";"21.0";"739.7";"758.2";"60";"Wind blowing from the west-southwest";"2";"";"";"";"No Significant Clouds";"10.0 and more";"13.0";
"05.08.2019 21:50";"20.0";"739.6";"758.2";"64";"Wind blowing from the south-west";"2";"";"";"";"No Significant Clouds";"10.0 and more";"13.0";
"05.08.2019 21:20";"21.0";"739.7";"758.2";"60";"Wind blowing from the south-west";"3";"";"";"";"No Significant Clouds";"10.0 and more";"13.0";
"05.08.2019 20:50";"22.0";"739.7";"758.2";"53";"variable wind direction";"1";"";"";"";"No Significant Clouds";"10.0 and more";"12.0";
"05.08.2019 20:20";"22.0";"739.7";"758.2";"53";"Wind blowing from the west";"2";"";"";"";"No Significant Clouds";"10.0 and more";"12.0";
"05.08.2019 19:50";"23.0";"739.8";"758.2";"50";"Wind blowing from the west";"3";"";"";"";"No Significant Clouds";"10.0 and more";"12.0";
"05.08.2019 19:20";"24.0";"739.4";"757.7";"44";"Wind blowing from the west";"3";"";"";"";"No Significant Clouds";"10.0 and more";"11.0";
"05.08.2019 18:50";"24.0";"739.4";"757.7";"44";"Wind blowing from the west";"5";"";"";"";"No Significant Clouds";"10.0 and more";"11.0";
"05.08.2019 18:20";"25.0";"739.4";"757.7";"39";"Wind blowing from the west";"4";"";"";"";"No Significant Clouds";"10.0 and more";"10.0";
"05.08.2019 17:50";"25.0";"739.4";"757.7";"36";"Wind blowing from the west";"4";"";"";"";"No Significant Clouds";"10.0 and more";"9.0";
"05.08.2019 17:20";"26.0";"739.5";"757.7";"42";"Wind blowing from the west";"5";"";"";"";"No Significant Clouds";"10.0 and more";"12.0";
"05.08.2019 16:50";"26.0";"739.5";"757.7";"42";"Wind blowing from the west";"5";"";"";"";"No Significant Clouds";"10.0 and more";"12.0";
"05.08.2019 16:20";"26.0";"739.5";"757.7";"45";"Wind blowing from the west";"6";"";"";"";"No Significant Clouds";"10.0 and more";"13.0";
"05.08.2019 15:50";"26.0";"739.5";"757.7";"42";"Wind blowing from the west-southwest";"6";"";"";"";"No Significant Clouds";"10.0 and more";"12.0";
"05.08.2019 15:20";"25.0";"739.4";"757.7";"47";"Wind blowing from the west";"3";"";"";"";"No Significant Clouds";"10.0 and more";"13.0";
"05.08.2019 14:50";"26.0";"739.5";"757.7";"42";"variable wind direction";"1";"";"";"";"No Significant Clouds";"10.0 and more";"12.0";
"05.08.2019 14:20";"26.0";"739.5";"757.7";"45";"variable wind direction";"1";"";"";"";"No Significant Clouds";"10.0 and more";"13.0";
"05.08.2019 13:50";"25.0";"739.4";"757.7";"47";"variable wind direction";"1";"";"";"";"No Significant Clouds";"10.0 and more";"13.0";
"05.08.2019 13:20";"24.0";"739.4";"757.7";"47";"variable wind direction";"3";"";"";"";"No Significant Clouds";"10.0 and more";"12.0";
"05.08.2019 12:50";"25.0";"739.4";"757.7";"47";"Wind blowing from the north-west";"3";"";"";"";"No Significant Clouds";"10.0 and more";"13.0";
"05.08.2019 12:20";"25.0";"739.4";"757.7";"47";"Wind blowing from the west";"3";"";"";"";"No Significant Clouds";"10.0 and more";"13.0";
"05.08.2019 11:50";"23.0";"739.8";"758.2";"50";"Wind blowing from the south-west";"5";"";"";"";"Few clouds (10-30%) 1230 m";"10.0 and more";"12.0";
"05.08.2019 11:20";"23.0";"739.8";"758.2";"53";"Wind blowing from the south-west";"5";"";"";"";"Few clouds (10-30%) 1260 m";"10.0 and more";"13.0";
"05.08.2019 10:50";"22.0";"739.7";"758.2";"57";"Wind blowing from the south-southwest";"4";"";"";"";"No Significant Clouds";"10.0 and more";"13.0";
"05.08.2019 10:20";"23.0";"739.8";"758.2";"53";"Wind blowing from the south-southwest";"5";"";"";"";"No Significant Clouds";"10.0 and more";"13.0";
"05.08.2019 09:50";"23.0";"739.8";"758.2";"53";"Wind blowing from the south";"4";"";"";"";"No Significant Clouds";"10.0 and more";"13.0";
"05.08.2019 09:20";"23.0";"739.8";"758.2";"53";"Wind blowing from the south-southwest";"2";"";"";"";"No Significant Clouds";"10.0 and more";"13.0";
"05.08.2019 08:50";"23.0";"739.8";"758.2";"50";"Wind blowing from the south-west";"3";"";"";"";"No Significant Clouds";"10.0 and more";"12.0";
"05.08.2019 08:20";"23.0";"739.8";"758.2";"50";"Wind blowing from the south";"2";"";"";"";"No Significant Clouds";"10.0 and more";"12.0";
"05.08.2019 07:50";"21.0";"739.7";"758.2";"64";"Wind blowing from the south-east";"2";"";"";"";"No Significant Clouds";"10.0 and more";"14.0";
"05.08.2019 07:20";"19.0";"739.6";"758.2";"73";"Wind blowing from the east-southeast";"3";"";"";"";"No Significant Clouds";"10.0 and more";"14.0";
"05.08.2019 06:50";"18.0";"739.5";"758.2";"83";"Wind blowing from the east-northeast";"3";"";"";"";"No Significant Clouds";"10.0 and more";"15.0";
"05.08.2019 06:20";"18.0";"739.5";"758.2";"78";"Wind blowing from the east";"3";"";"";"";"No Significant Clouds";"10.0 and more";"14.0";
"05.08.2019 05:50";"19.0";"739.6";"758.2";"68";"Wind blowing from the east";"3";"";"";"";"No Significant Clouds";"10.0 and more";"13.0";
"05.08.2019 05:20";"19.0";"739.6";"758.2";"68";"Wind blowing from the east-southeast";"4";"";"";"";"No Significant Clouds";"10.0 and more";"13.0";
"05.08.2019 04:50";"19.0";"739.6";"758.2";"68";"Wind blowing from the east";"2";"";"";"";"No Significant Clouds";"10.0 and more";"13.0";
"05.08.2019 04:20";"22.0";"739.7";"758.2";"50";"Wind blowing from the south-southeast";"4";"";"";"";"No Significant Clouds";"10.0 and more";"11.0";
"05.08.2019 03:50";"22.0";"739.7";"758.2";"50";"Wind blowing from the south-southeast";"4";"";"";"";"No Significant Clouds";"10.0 and more";"11.0";
"05.08.2019 03:20";"22.0";"739.7";"758.2";"53";"Wind blowing from the south-southeast";"4";"";"";"";"No Significant Clouds";"10.0 and more";"12.0";
"05.08.2019 02:50";"21.0";"740.5";"759.0";"57";"Wind blowing from the south-southeast";"4";"";"";"";"No Significant Clouds";"10.0 and more";"12.0";
"05.08.2019 02:20";"21.0";"740.5";"759.0";"57";"Wind blowing from the south-southeast";"4";"";"";"";"No Significant Clouds";"10.0 and more";"12.0";
"05.08.2019 01:50";"20.0";"740.4";"759.0";"60";"Wind blowing from the south-southeast";"3";"";"";"";"No Significant Clouds";"10.0 and more";"12.0";
"05.08.2019 01:20";"20.0";"741.1";"759.7";"64";"Wind blowing from the south-east";"3";"";"";"";"No Significant Clouds";"10.0 and more";"13.0";
"05.08.2019 00:50";"20.0";"741.1";"759.7";"64";"Wind blowing from the south-east";"3";"";"";"";"No Significant Clouds";"10.0 and more";"13.0";
"05.08.2019 00:20";"20.0";"741.1";"759.7";"64";"Wind blowing from the south-east";"3";"";"";"";"No Significant Clouds";"10.0 and more";"13.0";
"04.08.2019 23:50";"19.0";"741.0";"759.7";"68";"Wind blowing from the south-east";"3";"";"";"";"No Significant Clouds";"10.0 and more";"13.0";
"04.08.2019 23:20";"18.0";"740.9";"759.7";"73";"Wind blowing from the south-east";"3";"";"";"";"No Significant Clouds";"10.0 and more";"13.0";
"04.08.2019 22:50";"18.0";"740.9";"759.7";"73";"Wind blowing from the south-east";"4";"";"";"";"No Significant Clouds";"10.0 and more";"13.0";
"04.08.2019 22:20";"18.0";"741.7";"760.5";"73";"Wind blowing from the south-east";"3";"";"";"";"No Significant Clouds";"10.0 and more";"13.0";
"04.08.2019 21:50";"19.0";"741.8";"760.5";"68";"Wind blowing from the south-east";"3";"";"";"";"No Significant Clouds";"10.0 and more";"13.0";
"04.08.2019 21:20";"19.0";"741.8";"760.5";"68";"variable wind direction";"1";"";"";"";"No Significant Clouds";"10.0 and more";"13.0";
"04.08.2019 20:50";"19.0";"741.8";"760.5";"64";"Wind blowing from the south-southeast";"1";"";"";"";"No Significant Clouds";"10.0 and more";"12.0";
"04.08.2019 20:20";"20.0";"741.9";"760.5";"60";"variable wind direction";"1";"";"";"";"No Significant Clouds";"10.0 and more";"12.0";
"04.08.2019 19:50";"21.0";"741.9";"760.5";"57";"Wind blowing from the north-northeast";"2";"";"";"";"No Significant Clouds";"10.0 and more";"12.0";
"04.08.2019 19:20";"22.0";"742.0";"760.5";"53";"Wind blowing from the north-northeast";"2";"";"";"";"No Significant Clouds";"10.0 and more";"12.0";
"04.08.2019 18:50";"23.0";"742.0";"760.5";"47";"Wind blowing from the north-northeast";"2";"";"";"";"No Significant Clouds";"10.0 and more";"11.0";
"04.08.2019 18:20";"24.0";"742.1";"760.5";"44";"Wind blowing from the north-northeast";"3";"";"";"";"No Significant Clouds";"10.0 and more";"11.0";
"04.08.2019 17:50";"24.0";"742.1";"760.5";"44";"Wind blowing from the north";"2";"";"";"";"No Significant Clouds";"10.0 and more";"11.0";
"04.08.2019 17:20";"24.0";"742.8";"761.2";"44";"variable wind direction";"2";"";"";"";"No Significant Clouds";"10.0 and more";"11.0";
"04.08.2019 16:50";"24.0";"742.8";"761.2";"41";"variable wind direction";"1";"";"";"";"No Significant Clouds";"10.0 and more";"10.0";
"04.08.2019 16:20";"24.0";"742.8";"761.2";"44";"Wind blowing from the north";"2";"";"";"";"No Significant Clouds";"10.0 and more";"11.0";
"04.08.2019 15:50";"23.0";"742.7";"761.2";"47";"Wind blowing from the north-northwest";"2";"";"";"";"No Significant Clouds";"10.0 and more";"11.0";
"04.08.2019 15:20";"24.0";"742.8";"761.2";"44";"variable wind direction";"2";"";"";"";"No Significant Clouds";"10.0 and more";"11.0";
"04.08.2019 14:50";"24.0";"743.6";"762.0";"41";"variable wind direction";"2";"";"";"";"No Significant Clouds";"10.0 and more";"10.0";
"04.08.2019 14:20";"23.0";"743.5";"762.0";"44";"variable wind direction";"2";"";"";"";"No Significant Clouds";"10.0 and more";"10.0";
